Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
3uq2pt,"coś, co oczyszcza newsy i pokazuje sumę ich wszystkich ( z procentami) [Kacper Florek dla wszystkich]","null",to do,1582708445787,"2/26/2020, 10:14:05 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ideas","hidden","[ideas]","","","{}","[]","",,0,
3gnpj5,"git - stash","null",not to do,1580983977151,"2/6/2020, 11:12:57 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"Better Programmer","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
2ynccc,"TRB - get","call to maja\n\n",to_map,1577987952859,"1/2/2020, 6:59:12 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"ORGANISATION","hidden","SPRINTS","57600000","16 h ","{}","[]","",,0,
4rhy3d,"okluary, ktore tlumacz pokazuja nagielskie napisy","null",to do,1587237672867,"4/18/2020, 9:21:12 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ideas","hidden","[ideas]","","","{}","[]","",,0,
64r1mu,"(if Docker) 2. Try Pycharm","null",complete,1592986626458,"6/24/2020, 10:17:06 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
5ehw13,"encja - what is it","null",not to do,1590051524748,"5/21/2020, 10:58:44 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"DJANGO","hidden","SPRINTS","2400000","40 m","{}","[]","",,0,
3rmqrn,"$sql$ - review INSERT","null",complete,1582223828688,"2/20/2020, 7:37:08 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"DATA ANALYST","hidden","SPRINTS","3600000","1 h ","{}","[]","",,0,
38m9d0,"""lista w markdownie numerowana""","null",complete,1579627113661,"1/21/2020, 6:18:33 PM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
3rmqrq,"sql - how to select top n results","sql - how to select top 3\n",to do,1582223833489,"2/20/2020, 7:37:13 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"DATA ANALYST","hidden","SPRINTS","3600000","1 h ","{}","[]","",,0,
4rk042,"twierdzenia z ranku","null",to do,1587311230643,"4/19/2020, 5:47:10 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
5crxmj,"DSL plugin","null",not to do,1589983063751,"5/20/2020, 3:57:43 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"JENKINS","hidden","SPRINTS","","","{}","[]","",,0,
5wmmyb,"Find other flats","null",not to do,1591865213882,"6/11/2020, 10:46:53 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",1,"ORGANISATION","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
5rp2wa,"Try to solve MLE on GLM and see what happen.","Mam przeczucie, że rozwiązanie MLE na GLM pokaże, skąd biorą te śmieszne założonia(póki co z dupy).\n",complete,1591371689230,"6/5/2020, 5:41:29 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","1800000","30 m","{}","[]","",,0,
2gerdp,"[python] - pycharm ""mark as source directory","null",complete,1574063918704,"11/18/2019, 8:58:38 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
4ppqf0,"Gram matrix (with m>n and full rank) is positive definite","null",to do,1587060958870,"4/16/2020, 8:15:58 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
3cefvh,"Niskie zdolności łowieckie","boje się, że będę przez to zbyt mało przebojowy\n\n",to do,1580125676173,"1/27/2020, 12:47:56 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
5rpz74,"Making list of companies - habit","null",not to do,1591421449011,"6/6/2020, 7:30:49 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ORGANISATION","hidden","SPRINTS","5400000","1 h 30 m","{}","[]","",,0,
2gn8wq,"Pytest","https://docs.python.org/3/library/unittest.mock-examples.html -> getting started\n",not to do,1574262269656,"11/20/2019, 4:04:29 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
64r17r,"7. graph","null",in progress,1592986442431,"6/24/2020, 10:14:02 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
2yncdz,"Habit app - weekly","meeting about collected ""worries"" 2x/mo\n2-3 bookmarks redone\n\n",complete,1577988039062,"1/2/2020, 7:00:39 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
3rfvj6,"dedicated course from 4p","null",not to do,1582109807356,"2/19/2020, 11:56:47 AM GMT+1",,"",,"",2cjy30,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
66my0g,"Poczytać, co Piotr Kubica pisze.","null",to decide,1593099433901,"6/25/2020, 5:37:13 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","","","{}","[]","",,0,
5mmjn5,"Swagger - make description from the code visible.","null",not to do,1590950233008,"5/31/2020, 8:37:13 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"DJANGO","hidden","SPRINTS","3600000","1 h ","{}","[]","",,0,
64kv9m,"3. organisational tasks","null",complete,1592889128244,"6/23/2020, 7:12:08 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
62j7e1,"Interraction effect - is it visible without plotting anythin (looking on p-values e.q.)","Understanding Interaction Effect\njest CSV-ka\n\n",to decide,1592548349110,"6/19/2020, 8:32:29 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"ML 1-2","MATH","SPRINTS","900000","15 m","{}","[]","",,0,
5rru64,"Conditional independence for >= 2 variables","null",to decide,1591536118706,"6/7/2020, 3:21:58 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"PROBALISTICS","MATH","SPRINTS","2700000","45 m","{}","[]","",,0,
3yhv2j,"wale konia, bo jak będę z NAtalią to utrudnię sobie dostęp do suk. - ALE(czytaj dalej)","Ostatnio widziałem Natalię jako sposób na skrócenie czasu. Jednak przestało mi już zależeć na specjalnym skracaniu. Ma się udać. - hmmmm\n\n",to do,1583173010833,"3/2/2020, 7:16:50 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
2jhhmz,"Make list of hackatons","null",to do,1574542342492,"11/23/2019, 9:52:22 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"AI - break through","hidden","M.A.R.A.T.H.O.N.S","","","{}","[]","",,0,
2mdxdt,"CS - UTF-8","null",not to do,1574793529218,"11/26/2019, 7:38:49 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
3mq516,"[git] - merge branch vs merge develop (difference in symmetry)","null",complete,1581681645359,"2/14/2020, 1:00:45 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
50m3gp,"∇(|A|) = |A| * A^-T","null",to do,1588492439361,"5/3/2020, 9:53:59 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ALGEBRA","MATH","SPRINTS","1800000","30 m","{}","[]","",,0,
5rq186,"GDA has similar P(y=1) to logreg.","null",to decide,1591428617598,"6/6/2020, 9:30:17 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"ML 1-2","MATH","SPRINTS","1200000","20 m","{}","[]","",,0,
64qhu2,"1. Sproboj dodac dockera.","null",complete,1592976516761,"6/24/2020, 7:28:36 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
8pgega,"2. CarMaker - automate without rest of the system","null",complete,1593071730202,"6/25/2020, 9:55:30 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
2ynbzr,"Conferences - do list for 01-06/2019","null",to_map,1577987660169,"1/2/2020, 6:54:20 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ORGANISATION","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
66up9q,"elo","null",complete,1593346633426,"6/28/2020, 2:17:13 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
3mfy59,"czy dolina krzemowa konieczna?","null",to do,1581450298825,"2/11/2020, 8:44:58 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
62m36y,"Precision from R vs Precision from division","Niby możemy ocenić precyzję temy miernikami (R squared, inne R squared, itd.) \nA przecież często ziomki dzielą dataset na dwie części i nara. Tak sprawdzają, czy działa.\n[EDIT] - oni chyba jednak nie sprawdzają precyzji, a significance.\n			W takim przypadku mielibyśmy przemianowane pytanie na Precision from F vs Precision from division.\n\n\n\n[NOTE]:\nidąc dalej: czy my mamy w dupie czy to prawda? byle działało na dużej próbce? Czy big data rozwiązuje problem. Czy jeżeli działa na big dacie to działa zawsze?\n\n",to decide,1592572605925,"6/19/2020, 3:16:45 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"ML 1-2","MATH","SPRINTS","3600000","1 h ","{}","[]","",,0,
4yqfx9,"e1, e2, ..., en - independent OR uncorrelated only","gdzieś indziej piszę, że independent mają być\n\n",complete,1588253320012,"4/30/2020, 3:28:40 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","5400000","1 h 30 m","{}","[]","",,0,
66ubw8,"git add empty directory","https://stackoverflow.com/questions/17743549/recursively-add-the-entire-folder-to-a-repository\n",not to do,1593330242773,"6/28/2020, 9:44:02 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
