,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
0,5715448,0,C
1,5715448,-1,C
2,5715448,-2,C
3,5715448,-3,C
4,5715448,-4,C
5,5715448,-5,C
6,5715448,-6,C
7,5715448,-7,C
8,5715448,-8,C
9,5715448,-9,0
10,5715448,-10,0
11,5715448,-11,X
12,5715448,-12,X
13,5715448,-13,X
14,5715448,-14,0
15,5715448,-15,0
16,5715448,-16,0
17,5715448,-17,0
18,5715448,-18,0
19,5715448,-19,0
20,5715448,-20,X
21,5715448,-21,X
22,5715448,-22,X
23,5715448,-23,X
24,5715448,-24,X
25,5715448,-25,X
26,5715448,-26,X
27,5715449,0,C
28,5715449,-1,C
29,5715449,-2,C
